0, 5000.0 5000.0
1, 3850.7059497053256 4658.374076430777
2, 4194.873270442681 8174.859980282025
3, 8315.81812739859 3665.123437134336
4, 5220.729896700097 5713.5992341797
5, 6264.401902170686 6896.4644669674235
6, 7249.131021505694 4273.568261459802
7, 6306.650425226058 4443.389964066979
8, 4871.351045605508 2742.535666715521
9, 9089.908325818089 3206.8793489744203
10, 5488.757680101558 2351.3492606652985
11, 5228.904584461012 2954.0882263569624
12, 7313.300545316186 6804.2540878263735
13, 4816.407415619727 7501.630019314822
14, 5839.93919059597 4487.751528835352
15, 4256.408946015078 3412.2181539897038
16, 8045.239844992489 7872.927640190614
17, 4849.346489580659 6869.231639794962

