0, 2500.0 2500.0
1, 2505.739346127487 2336.264579263655
2, 2482.5042225058064 2410.896517764053
3, 2578.13677190135 2508.2776759160506
4, 2550.9237415567954 2344.233052796912
5, 2716.240326452149 2161.9267999292456
6, 2487.7412436916206 2591.4880647969117
7, 2756.4109734683675 2270.7752672469555
8, 2647.29284348003 2076.7483837349732
9, 2922.402208901566 2124.566457363302
10, 2406.131986458436 2274.738176210929
11, 2194.6799677932795 2306.864092512677
12, 2692.3560011958 1836.8494289229056
13, 2794.0658728810613 1854.6935220156488
14, 2882.6707510808515 1703.4782365189567
15, 2277.270403429183 2621.250416437883
16, 2561.8346674490667 2020.574164343005
17, 2237.532415952453 2674.8356956002535
18, 2929.701258769771 1844.9248414993676
19, 2995.686641942189 2007.46294501606
20, 2513.544133426345 2633.8718101698373
21, 2976.6896036155613 2159.098436528225
22, 2344.7162052057247 2788.0968012899216
23, 2735.5350510127987 2072.1275868326243
24, 2776.530149887567 2552.810374908467
25, 2491.0135647645516 2069.5205348578093
26, 2658.3049566388254 2360.236728005978
27, 3190.60220966262 2032.995633809879
28, 3007.4391860902915 2154.419142464389
29, 3223.7257666828577 1800.1393511441154
30, 3156.331127490671 2081.7451500711236
31, 3373.247085471655 2204.9809573328475
32, 2176.393630230066 2467.974874332277
33, 2507.7951221035705 2832.8926033923785
34, 2256.003230161513 2274.6389010082435
35, 2790.2447682667753 2569.7557432716403
36, 2653.6060403661954 2378.979008669398
37, 2785.0440904889847 1974.1480757830914
38, 2254.2426856173656 2606.3340822479645
39, 3260.783663873015 2177.2346940493935
40, 2373.235566716565 2478.77555654899
41, 3423.677507711952 2380.0971501153854
42, 2824.837669077043 2642.147879649722
43, 3195.8056577910734 1839.7801936578176
44, 2750.6318330607096 2376.245357365022
45, 2161.074288000291 2251.144825443161
46, 2824.7059502527372 2554.5115902655853
47, 3422.430790327038 2016.1571222079626
48, 2150.4364857096903 2843.01323665881
49, 3236.729199567459 2260.7804771313836

