0, 5000.0 5000.0
1, 6933.651946762288 7635.212122144261
2, 6797.372240068046 1993.1297801465385
3, 7979.293590600514 3339.445445241031
4, 3115.1247876138796 3764.5538870994806
5, 5942.598146671886 3671.685196406583
6, 8771.527371850065 2998.1265287658753
7, 5922.039896985999 3527.390128057838
8, 7988.252781475393 1012.7815917694847
9, 4017.303585008487 4306.697169223288
10, 5173.270151596938 3764.2991344774446
11, 6401.6174298208925 8623.58035313007
12, 7484.5393974982435 2113.3555141186935
13, 7821.748847461944 5969.7819920439415
14, 4908.378805376674 4491.661708502822
15, 6874.060742616129 2430.583594648287
16, 7809.401377328188 8099.128839660843
17, 3451.7808912939336 4857.934214408586
18, 6172.418474576391 3412.8677083002744
19, 6549.899936580807 6720.044885026572
20, 7181.43643728292 6578.480025013963
21, 7979.763681083319 4584.154999696758
22, 4979.049772493983 4088.3000047133673
23, 7720.170687004006 7741.101634095792

