0, 2500.0 2500.0
1, 2484.9674770638585 2498.917596155265
2, 2499.948734254637 2489.0194069106265
3, 2521.137230390895 2512.6677338557624
4, 2488.7087271565665 2487.180236662992
5, 2526.577206435128 2513.335987524163
6, 2486.9066553766506 2506.9533903637544
7, 2539.8374081145203 2497.238563166902
8, 2486.5094119995856 2512.266632386415
9, 2462.594218809147 2493.4312472495235
10, 2487.5566076077707 2476.09118814306
11, 2526.497559060098 2533.91676048379
12, 2499.54184317994 2522.4955240092268
13, 2486.175608319143 2492.4723758622745
14, 2518.2326398680802 2480.317064977686
15, 2469.1024994981544 2527.234620247717
16, 2541.225956148237 2539.1799609471464
17, 2446.8865800272333 2536.9734026073957
18, 2534.0278579480764 2532.260388729699
19, 2433.5291280072615 2545.8575963179314
20, 2438.421045361105 2492.4521837279885
21, 2497.5869195136574 2538.009777534222
22, 2518.8939336823123 2554.0139521452575
23, 2509.564519986528 2478.1012177515004
24, 2494.358521613183 2511.44891653423
25, 2540.5743241963037 2491.7568005580183
26, 2425.967064615832 2555.030432898473
27, 2482.066659786472 2504.3971571950515
28, 2525.8066742859246 2571.325118500351
29, 2442.802917886419 2510.305879460454
30, 2503.775757571401 2560.6820469836507
31, 2438.9134581965022 2570.0897134091
32, 2536.741052850701 2486.7708260754634
33, 2528.2286988688375 2493.4234153746065
34, 2516.6174962301197 2459.4829765136155
35, 2503.796445847395 2507.004841905059
36, 2548.7885149183453 2496.159369775832
37, 2533.377249641253 2591.3994231040833
38, 2557.6134743140274 2495.4651360613343
39, 2544.2023984092834 2555.535648348083
40, 2472.373842986799 2537.2429054487206
41, 2483.441551024389 2485.550428218645
42, 2426.4801485507523 2564.1203017712105
43, 2531.4607173091104 2478.335690277404
44, 2486.041279131129 2533.059528512306
45, 2467.385606390273 2556.6843097022283
46, 2521.3599748644197 2448.6067119772656
47, 2532.5273764513418 2544.6284324939875
48, 2553.0856534758377 2563.812352993949
49, 2450.4000211052803 2472.6794294046995

