0, 5000.0 5000.0
1, 3384.4211704998943 6500.546518446407
2, 3839.8532359584306 6884.170773903749
3, 7824.141033668301 6137.356447447979
4, 5146.828297450495 7276.715280491643
5, 6085.189098744409 5278.067773392549
6, 5350.911863732952 1548.7729701683543
7, 8011.832547655691 5026.176696785038
8, 1050.2731745680808 6008.270334744039
9, 5521.868722232661 2706.517154313559
10, 8257.19724129459 5338.390759785451
11, 2506.3202207645863 5713.165838022345
12, 5296.309203563285 8131.5081678170845
13, 4010.879711207292 4445.597082172428
14, 4204.01355185194 4379.660919778523
15, 5419.849132033301 7689.421451590071
16, 8457.22052387468 4137.28571174891
17, 8673.771852275775 4114.209395521615
18, 5538.111650687684 3890.760096368049
19, 2404.767064923026 5479.382403932778
20, 7417.8446611538675 4703.234324630788
21, 2530.1864879289205 4297.1792517117865

