0, 5000.0 5000.0
1, 3713.770056665766 5636.028660562446
2, 1776.3374931056464 6761.685816744771
3, 3038.0933871890174 2098.554289739913
4, 1334.4949989562888 7447.20142386203
5, 6445.838528935342 5475.571577982155
6, 2571.504864569082 6907.047871812503
7, 2676.4725397284483 4007.357631733112
8, 3235.2253614959664 1774.1287723301584
9, 6863.850710196694 4556.188310515578
10, 6066.2276977157035 5334.083517562161
11, 3342.151844399923 3024.4627158110916
12, 2786.380315989299 5404.913907907458
13, 6578.48153496468 3676.672459043205
14, 2916.9556441761506 5846.007851903978

