0, 5000.0 5000.0
1, 3417.908331590336 5186.224793197356
2, 5663.328117582178 5246.397166138222
3, 7559.517312528481 3681.1819356037563
4, 3960.0454123086793 5080.693436085318
5, 4938.7413695543255 7902.951405575679
6, 6408.787464215225 7377.057076435473
7, 6385.060505963516 5578.299089734177
8, 2844.286611547294 4378.069769686007
9, 6482.905983564887 2923.071846222164
10, 6833.887268200241 3259.729935172462
11, 2812.29215616797 5445.040611247514
12, 5018.480039367201 7164.089609742479
13, 5794.994386202858 4291.933770889262
14, 3848.146792763946 6105.84158308134
15, 2140.7509549233087 3263.6263126749527
16, 1929.440759298649 2782.512990207059
17, 1700.8840508892927 5523.345263005147
18, 4563.338250946018 8752.573016525923
19, 4722.976361046461 6079.291904912484
20, 5208.477620950948 5642.423923881479

