0, 2500.0 2500.0
1, 2490.1629281615474 2505.8550939931297
2, 2521.1904937032264 2505.6843151648027
3, 2507.3954039559285 2498.5460133097026
4, 2533.330285445565 2495.9464555675963
5, 2508.031177259087 2518.109525473949
6, 2551.2082536209778 2513.3803746978074
7, 2508.8970138033424 2507.8942386868284
8, 2566.7661959616034 2495.286267803405
9, 2486.1840283913302 2493.3360033818626
10, 2536.605946186938 2525.2759156165534
11, 2571.7892532460055 2486.9091969002507
12, 2587.5110668263883 2473.4694336366815
13, 2558.180745790502 2474.37123777877
14, 2541.21064017136 2509.1683016824386
15, 2535.012870812479 2467.2065457111994
16, 2581.8069078292656 2479.7703579273552
17, 2561.6758108177337 2503.9615912847453
18, 2528.8984138532896 2491.2105442835586
19, 2509.55237854778 2527.090853849278
20, 2547.8612634091514 2531.449092854988
21, 2586.5048380518547 2449.8011062410683
22, 2505.23825996824 2533.0418360520794
23, 2570.4954175512676 2449.751484453937
24, 2567.9600867545 2426.315908206012
25, 2576.1577668884997 2504.6669261100014
26, 2597.424539078567 2456.555010768003
27, 2468.017234377282 2514.9895938309332
28, 2522.015902978309 2539.505319621168
29, 2613.2241189754104 2442.0569364147987
30, 2608.195104779117 2436.9104723273776
31, 2570.6732985159474 2531.021963786441
32, 2524.0359854271187 2471.3474821024543
33, 2495.1658264854827 2534.1699738942384
34, 2551.629011279011 2413.3962566996424
35, 2604.112338205606 2413.3705133596845
36, 2448.016263952786 2528.2383075081234
37, 2517.876656267408 2483.8519482844345
38, 2558.56335318198 2423.7462744798845
39, 2617.185626906705 2454.2935307868033
40, 2576.228541071712 2540.08414153396
41, 2478.3060878050314 2502.0609714447155
42, 2550.4025652560276 2488.6529774603214
43, 2447.7726303092804 2543.591727095568
44, 2457.5977556463326 2557.107916402766
45, 2588.1108143266247 2547.7051588581203
46, 2587.6780006030335 2488.894616107062
47, 2560.0029427478257 2509.2456614115754
48, 2558.7161076476227 2556.270503482711
49, 2455.740990126781 2565.2492355225245

