0, 5000.0 5000.0
1, 5120.1807058664535 2855.6917536130272
2, 5880.950784578936 3141.266787590653
3, 2823.657161591571 1953.1153578052786
4, 5096.939366147422 5386.15124905842
5, 2049.5432328635143 2250.557378260011
6, 373.82767368246823 3236.5069158830265
7, 6442.03722258792 4128.907433781765
8, 2712.61918890831 4033.3237419203983
9, 5068.919139675576 3531.705423247601
10, 4563.834958355891 6035.474410696252
11, 868.9041337184399 1878.9851816537875
12, 3726.2631038692825 4599.568351221502
13, 5527.417788970315 5131.2796514576685
14, 6052.251517398051 6070.340527374892
15, 1881.9586954506303 3335.843660198327
16, 6646.005117293805 2884.49962233052
17, 4933.032249311416 5356.0582549504325
18, 3871.748027651539 3274.3602320985274

