0, 5000.0 5000.0
1, 4530.631480585668 5986.74081546032
2, 4914.989606245247 6527.722764274735
3, 3136.536166627214 7963.5986963342475
4, 6033.484099967812 4709.461346496968
5, 6543.009391640219 7095.033451413791
6, 6174.665245485163 1209.0066643093742
7, 3642.452355994381 5461.457103637103
8, 4468.135006398542 7636.078283800585
9, 5540.907735952581 530.0950467462862
10, 5161.12724559684 2958.552884407132
11, 7027.70333819418 4347.102752368261
12, 5851.065537399894 5827.754837503586
13, 3963.255588817993 8073.50803766032
14, 7263.515492445833 3490.347515966755
15, 5060.65553924823 1978.5532922425
16, 5352.948656324539 3582.534288862593

