0, 5000.0 5000.0
1, 3902.6266518585126 9319.599634890077
2, 4124.124081906921 4484.6174144317065
3, 4451.107891243442 6641.261742068822
4, 7419.207563404951 6603.023844928749
5, 1843.8785453859377 4952.656382577897
6, 8612.481358278494 5998.374068270926
7, 6235.765460343274 5822.758927821615
8, 4821.762746625839 4035.7206248908396
9, 3556.7476309373046 6707.2279568183285
10, 4534.821786424858 5255.160865188984
11, 5260.359872850201 8237.255321569603
12, 6496.959607554084 6180.758732601076
13, 2831.709132268123 8392.38557312499
14, 4021.396501892782 7871.909297967735
15, 2418.9590174125983 5993.369467050912

