0, 5000.0 5000.0
1, 4419.72606746757 6350.541866243762
2, 2868.5933451627247 5798.247143471363
3, 4856.981613986743 6658.244889125215
4, 4749.346048043239 4488.066552258286
5, 2239.773075198105 6893.241829089129
6, 2277.6318708548088 2371.574618977298
7, 4587.093042083892 2125.7312457368607
8, 3696.191135510786 2850.077116757428
9, 1513.2716106218031 2699.032355323893
10, 5369.622919649658 6669.400579987083
11, 3297.653175515374 5458.283554247274
12, 4661.507982901387 4195.981632667498
13, 8263.917226857833 7896.720179910517
14, 4634.791588669915 3098.189365446776
15, 7438.5462524864 7243.459513717733
16, 5808.741731448183 4532.372149329282
17, 6179.4710394674785 7135.388173231839
18, 5510.149296318538 5366.912503230458
19, 2733.309371300201 3229.948727046377
20, 2969.2641998785925 8299.532206094516
21, 1892.3605135745738 7654.156942897551
22, 4303.695090780285 2514.3029336252334

